ORA-00000    성공적인 정상 종료입니다.
ORA-01028    내부 투 태스크(two task) 오류
ORA-01029    내부 투 태스크(two task) 오류
ORA-01030    SELECT ... INTO 변수가 없습니다.
ORA-01031    권한이 불충분합니다.
ORA-01032    사용자 번호가 존재하지 않습니다.
ORA-01033    ORACLE의 초기화 또는 정지 처리가 진행중입니다.
ORA-01034    ORACLE을 사용할 수 없습니다.
ORA-01035    ORACLE은 RESTRICTED SESSION 권한을 갖는 사용자만 사용 가능합니다.
ORA-01036    잘못된 변수명/번호
ORA-01037    최대 커서 메모리가 초과되었습니다.
ORA-01038    데이타베이스 화일 버전 %s에 ORACLE 버전 %s으로 기록할 수 없습니다.
ORA-01039    사용되지 않는 오류
ORA-01040    암호에 잘못된 문자가 있습니다 로그온을 할 수 없습니다.
ORA-01041    내부오류. hostdef 확장이 존재하지 않습니다.
ORA-01042    개방된 커서와 함께 세션을 분리하는 것은 허용되지 않습니다.
ORA-01043    사용자쪽의 기억영역 파괴 [%s], [%s], [%s], [%s]
ORA-01044    버퍼의 크기 %s (한계가 변수 %s)가 최대의 %s를 초과했습니다.
ORA-01045    사용자 %s는 CREATE SESSION 권한을 가지고있지 않음; 로그온이 거절되었습니다.
ORA-01046    확장할 문맥 영역을 획득할 수 없습니다.
ORA-01047    위에 오류는 스키마=%s, 패키지=%s, 프로시저=%s에서 발생된 것입니다.
ORA-01048    주어진 컨텍스트에서 지정된 프로시저를 찾을 수 없습니다.
ORA-01049    스트림된 RPC에서 이름으로 바인드한것은 지원되지 않습니다.
ORA-01050    문맥 영역을 개방하기 위한 영역을 획득할 수 없습니다.
ORA-01051    잘못된 지연 rpc 버퍼 포맷
ORA-01053    사용자 기억 영역 주소를 읽을 수 없습니다.
ORA-01054    사용자 기억 영역 주소에 기록할 수 없습니다.
ORA-01057    내부의 New Upi 인터페이스 오류
ORA-01058    internal New Upi interface error
ORA-01059    바인드 또는 실행전에 구문분석이 필요합니다.
ORA-01060    배열 바인드 또는 실행이 허용되지 않습니다.
ORA-01070    서버용으로 구버전의 오라클을 사용
ORA-01071    ORACLE을 기동하지 않으면 조작 실행이 불가 합니다.
ORA-01072    ORACLE은 기동중이 아닙니다 정지할 수 없습니다.
ORA-01073    연결 오류. 콜(call)의 유형을 인식할 수 없습니다.
ORA-01074    ORACLE은 정지되지 않습니다 먼저 로그오프해 주십시오
ORA-01075    이미 로그온되어 있습니다.
ORA-01076    단일 프로세스에 대한 복수 로그온은 제공되지 않습니다.
ORA-01077    백그라운드 프로세스 초기화 오류입니다.
ORA-01078    시스템 파라미터 처리 오류입니다.
ORA-01079    ORACLE 데이타베이스가 작성되지 않았음 - 작업이 비정상 종료되었습니다.
ORA-01080    ORACLE 정지중 오류가 발생했습니다.
ORA-01081    이미 기동중인 ORACLE을 기동하려 했습니다.
ORA-01082    row_locking = always 기능은 TPS 옵션이 없는 ORACLE에서는 지원되지않습니다.
ORA-01083    파라미터 값 %s는 다른 서버들의 값과 불일치합니다.
ORA-01084    OCI 호출에 부적당한 인수가 있습니다.
ORA-01085    %S에 대한 지연 원격 프로시저 호출(rpc)에서 오류 발생
ORA-01086    세이브포인트 %s 는 설정되어 있지 않습니다.
ORA-01087    현재 ORACLE에 로그온되어 있습니다 기동할 수 없습니다.
ORA-01088    액티브 프로세스가 있기 때문에 ORACLE을 정지할 수 없습니다.
ORA-01089 정지 처리(즉시)중입니다 조작은 허가되지 않습니다.
ORA-01090 정지 처리중입니다 연결할 수 없습니다.
ORA-01091 기동중에 오류가 발생했습니다.
ORA-01092 오라클 인스턴스 종료 분리가 되었습니다.
ORA-01093 ALTER DATABASE CLOSE 문은 연결된 세션이 없는 경우에만 가능합니다.
ORA-01094 ALTER DATABASE CLOSE 문이 수행중 입니다 연결은 허용되지 않습니다.
ORA-01095 DML 문이 0개의 행을 처리 했습니다.
ORA-01096 프로그램 버전 (%s)과 인스턴스 (%s)가 호환성이 없습니다.
ORA-01097 트랜잭션 도중에 SHUTDOWN할 수 없습니다- 먼저 커밋 혹은 롤백하십시오
ORA-01098 Long Insert중에 프로그램 인터페이스 오류
ORA-01099 단일 프로세스 모드로 기동된 데이타베이스는 SHARES 모드로 마운트할 수 없습니다.
ORA-01100 데이타베이스가 이미 마운트 되었습니다.
ORA-01101 다른 인스턴스로 부터 생성된 데이타베이스가 현재 마운트 되었습니다.
ORA-01102 데이타베이스가 EXCLUSIVE 모드로 마운트할 수 없습니다.
ORA-01103 제어 화일의 데이타베이스명 %s는 %s가 아닙니다.
ORA-01104 제어 화일의 수(%s)가 %s 와 일치하지 않습니다.
ORA-01105 올리기는 다른 인스턴스에 의해 마운트하는 것과 호환성이 없습니다.
ORA-01106 내리기를 하기전에 데이타베이스를 디스마운트 합니다.
ORA-01107 매체 복구를 위해 데이타베이스를 마운트해야 합니다.
ORA-01108 화일 %s가 매체 복구 중에 있습니다.
ORA-01109 데이타베이스가 개방되지 않습니다.
ORA-01110 데이타 화일 %s: %s
ORA-01111 데이타 화일 %s의 이름을 모릅니다- 올바른 화일로 재명명 하십시오.
ORA-01112 매체 복구 처리가 개시되지 않았습니다.
ORA-01113 화일 %s가 매체 복구되어야 합니다.
ORA-01114 화일 %s의 블록쓰기 IO 오류입니다블록 번호 %s).
ORA-01115 화일 %s의 블록(블록 번호 %s) 읽기 IO 오류입니다.
ORA-01116 데이타베이스 화일 %s의 개방 오류입니다.
ORA-01117 추가하는 화일 %s 의 블록 크기 %s 는 부적합합니다 제한은 %s 입니다.
ORA-01118 데이타베이스 화일을 더 이상 등록할 수 없습니다 제한 %s 를 초과했습니다.
ORA-01119 데이타베이스 화일 %s 의 작성 오류입니다.
ORA-01120 온라인 데이타베이스 화일 %s은 삭제할 수 없습니다.
ORA-01121 데이타 화일 %s를 재명명할 수 없습니다-  화일이 사용중이거나 복구중입니다.
ORA-01122 데이타 화일 %s의 검증 체크에 실패 했습니다.
ORA-01123 온라인 백업을 개시할 수 없습니다 매체 복구가 사용 불가로 되어 있습니다.
ORA-01124 데이타 화일 %s을 복구할 수 없음 - 화일이 사용중이거나 복구중입니다.
ORA-01125 매체 복구를 사용불가할 수 없음. 화일 %s 가 온라인 백업으로 설정됨.
ORA-01126 데이타베이스는 EXCLUSIVE로 마운트하고 개방하지 말아야 합니다.
ORA-01127 데이타베이스명 %s가 최대 문자수 %s를 초과했습니다.
ORA-01128 온라인 백업을 시작할 수 없음 - 화일 %s가 오프라인입니다.
ORA-01129 디폴트 또는 임시 테이블 영역이 존재하지 않습니다.
ORA-01130 데이타베이스 화일 버전 %s 는 ORACLE 버전 %s 와 호환되지 않습니다.
ORA-01131 DB_FILES 파라미터의 값 %s 가 최대수 %s 를 초과했습니다.
ORA-01132 데이타베이스 화일명 %s 의 길이가 최대 문자수 %s 를 초과했습니다.
ORA-01133 로그 화일명 %s 의 길이가 최대 문자수 %s 를 초과했습니다.
ORA-01134 데이타베이스가 다른 인스턴스에 의해 배타 모드로 마운트했습니다.
ORA-01135 DML/질의로 액세스된 화일 %s 는 오프 라인입니다.
ORA-01136 화일 %s의 명시된 크기(%s 블록)가 원래 크기 %s 블록보다 작습니다.
ORA-01137 데이타 화일 %s가 오프라인으로 되고 있는 중입니다.
ORA-01138 데이타베이스가 이 인스턴스로 열거나 다른 인스턴스에 대해 닫아야 합니다.
ORA-01139 RESETLOGS 옵션은 불완전한 데이타베이스의 복구 후에만 유효합니다.
ORA-01140 온라인 백업을 종료할 수 없음 - 모든 화일이 오프라인입니다.
ORA-01141 데이타 화일 %s의 재명명 오류 - 새로운 화일 %s 가 없습니다.
ORA-01142 온라인 백업을 종료할 수 없음 - 백업할 수 있는 상태의 화일이  없습니다.
ORA-01143 매체 복구를 사용불가하게할 수 없습니다 화일 %s가 매체복구를 필요로 합니다.
ORA-01144 화일크기(%s 블록)가 최대치 %s 블록을 초과합니다.
ORA-01145 매체 복구가 사용 가능하지 않으면 즉시 오프라인으로 할 수 없습니다.
ORA-01146 온라인 백업을 시작할 수 없습니다 - 화일 %s가 이미 백업중에 있습니다.
ORA-01147 SYSTEM 테이블 영역 화일 %s가 오프 라인입니다.
ORA-01148 이 작업을 하려면 데이타베이스가 EXCLUSIVE 모드로 마운트해야 합니다.
ORA-01149 정지처리 불가 - 화일 %s를 온라인 백업중 입니다.
ORA-01150 쓰기 방지를 할수 없음 - 화일 %s를 온라인 백업중 입니다.
ORA-01151 블록을 복구하려면 미디어 복구를 사용하고 필요하면 백업을 사용하십시오
ORA-01152 화일 %s가 충분한 이전 백업으로 복구되지 않았습니다 
ORA-01153 비호환 매체 복구가 동작 상태입니다.
ORA-01154 데이타베이스는 사용중 - 개방, 클로즈, 마운트, 디스마운트 할 수 없습니다.
ORA-01155 데이타베이스는 개방, 클로즈, 마운트 혹은 디스마운트 중 입니다.
ORA-01156 진행중인 복구 작업이 화일 액세스를 필요로 할 수 있습니다.
ORA-01157 데이타 화일 %s를 식별할 수 없습니다- 화일이 발견되지 않음
ORA-01158 데이타베이스 %s 가 이미 마운트했습니다.
ORA-01159 화일이 동일한 데이타베이스의 화일이 아닙니다- 데이타베이스 ID가 잘못됨.
ORA-01160 화일이 %s가 아닙니다.
ORA-01161 화일헤더에 있는 데이타베이스명 %s가 주어진 이름 %s 와 일치하지 않습니다.
ORA-01162 화일 헤더에 블록 크기 %s가 DB_BLOCK_SIZE(%s)와 일치하지 않습니다.
ORA-01163 SIZE 절에 %s (블록)이 지정되었으나 헤더 %s와 일치해야 합니다.
ORA-01164 MAXLOGFILES는 %s 를 초과할 수 없습니다.
ORA-01165 MAXDATAFILES는 %s 를 초과할 수 없습니다.
ORA-01166 화일번호 %s가 %s (%s)보다 큽니다.
ORA-01167 두개의 화일들이 같은 화일 그룹번호 이거나 같은 화일입니다.
ORA-01168 물리 블록 크기 %s가 다른 멤버들의 크기 %s와 일치하지 않습니다.
ORA-01169 DATAFILE 번호 1번이 없습니다.
ORA-01170 화일이 존재하지 않습니다 %s
ORA-01171 체크포인트 오류 때문에 데이타 화일 %s이 오프라인됩니다.
ORA-01172 쓰레드 %s의 복구가 블록 %s(화일 %s의)에서 더이상 진행되지 못합니다.
ORA-01173 데이타 DICTIONARY
ORA-01174 DB_FILE %s는 호환성을 위해서 %s가 되어야 합니다.
ORA-01175 데이타 DICTIONARY가 인스턴스에서 허용하는 %s 보다 많은 수의 화일을 포함합니다.
ORA-01176 데이타 DICTIONARY가 제어 화일에서 허용하는 %s 보다 많은 수의 화일을 포함합니다.
ORA-01177 데이타 화일이 DICTIONARY와 일치하지 않습니다- 아마도 오래된 것입니다.
ORA-01178 화일 %s가 마지막 CREATE CONTROLFILE 이전에 생성됐음. 재 생성할 수 없습니다.
ORA-01179 화일 %s 가 존재하지 않습니다.
ORA-01180 데이타 화일 1을 생성할 수 없습니다.
ORA-01181 최후의 RESETLOGS 이전에 생성된 화일 %s를 재생성할 수 없습니다.
ORA-01182 데이타베이스 화일 %s를 생성할 수 없음 - 사용중이거나 복구중입니다.
ORA-01183 SHARED모드로 데이타베이스를 마운트할 수 없습니다.
ORA-01184 로그화일 그룹 %s는 이미 존재합니다.
ORA-01185 로그화일 그룹 %s는 부적절합니다.
ORA-01186 화일 %s의 검증 테스트에 실패했습니다.
ORA-01187 검증 테스트에 실패했기 때문에 화일 %s를 읽을 수 없습니다.
ORA-01188 헤더내의 블록 크기 %s가 실제 물리블록 크기 %s와 맞지 않습니다.
ORA-01189 이전 화일과 다른 RESETLOGS가 사용되었습니다.
ORA-01190 제어 화일 혹은 데이타 화일 %s는 마지막 RESETLOGS 이전의 것입니다.
ORA-01191 화일 %s는 이미 오프라인임 - 정상적인 오프라인을 할 수 없습니다.
ORA-01192 최소한 하나의 이용 가능한 쓰레드를 가져야합니다.
ORA-01193 화일 %s는 복구 시작시 인식된 화일이 아닙니다.
ORA-01194 화일 %s가 일관성을 갖기 위해서는 더 많은 복구가 필요로 합니다.
ORA-01195 화일 %s의 온라인 백업은 일관성을 갖기위해 더 많은 복구가 필요로 합니다.
ORA-01196 매체복구 세션의 실패로 인하여 화일 %s의 일관성이 결여되어 있습니다.
ORA-01197 쓰레드 %s는 하나의 로그만을 포함하고 있습니다.
ORA-01198 RESETLOGS인 경우 로그화일에 대한 크기를 지정하여야 합니다.
ORA-01199 화일 %s는 온라인 백업 모드가 아닙니다.
ORA-01200 실제 화일크기 %s는 맞는 크기인 %s 블록보다 작습니다.
ORA-01201 헤더내의 화일 크기 %s가 제어화일내의 크기 %s와 일치하지 않습니다.
ORA-01202 화일의 구현이 잘못됨 - 작성 시각이 틀립니다.
ORA-01203 화일의 구현이 잘못됨 - 작성 SCN이 틀립니다.
ORA-01204 화일 번호가 %s (%s가 아님) - 틀린 화일입니다.
ORA-01205 데이타 화일이 아님 - 헤더내의 유형 번호가 %s입니다.
ORA-01206 화일은 이 데이타베이스의 일부가 아님 - 데이타베이스 ID가 틀립니다.
ORA-01207 화일이 제어화일보다 최근의 것임 - 오래된 제어화일입니다.
ORA-01208 데이타 화일이 구버전임 - 현 버전을 액세스하지 않았습니다.
ORA-01209 데이타 화일이 마지막 RESETLOGS 이전의 것입니다.
ORA-01210 데이타 화일의 헤더가 매체 붕괴되었습니다.
ORA-01211 버전 6의 데이타 화일이 버전7으로의 변환 화일이 아닙니다.
ORA-01212 MAXLOGMEMBERS는 %s를 초과할 수 없습니다.
ORA-01213 MAXINSTANCE는 %s를 초과할 수 없습니다.
ORA-01214 MAXLOGHISTORY는 %s를 초과할 수 없습니다.
ORA-01215 CREATE CONTROLFILE이후의 가용 쓰레드 %s가 빠졌습니다.
ORA-01216 CREATE CONTROLFILE이후 쓰레드 %s는 사용불가되어야합니다.
ORA-01217 로그화일 멤버가 다른 로그화일 그룹에 속해있습니다.
ORA-01218 로그화일 멤버는 동일한 시간때에 만든것이 아닙니다.
ORA-01219 데이타베이스가 열지 않았음: 고정 테이블/뷰에 대해서만 조회가 가능합니다.
ORA-01220 데이테베이스가 개방 되기전에는, 화일을 기본으로하는 소트가 부적합합니다.
ORA-01221 데이타 화일 %s는 백그라운드 프로세스에 대해 동일 화일이 아닙니다.
ORA-01222 %s의 MAXINSTANCES는 MAXLOGFILES가 최소 %s이어야함(%s가 아님)
ORA-01223 새로운 데이타베이스명을 부여하기 위해서는 RESETLOGS를 지정하여야 합니다.
ORA-01224 헤더 %s내의 그룹번호가 GROUP %s와 맞지 않습니다.
ORA-01225 쓰레드 번호 %s가 MAXINSTANCES %s 보다 큽니다.
ORA-01226 로그 멤버의 화일헤더가 다른 멤버와 일치하지 않습니다.
ORA-01227 로그 %s는 다른 로그와 일치하지 않습니다.
ORA-01228 기초 데이테베이스를 설치하려면 SET DATABASE 옵션이 필요합니다.
